timestamp,open,high,low,close
datetime,float,float,float,float
T,,,,
2007-01-29 11:00:00,121.92,121.94,121.83,121.89
2007-01-29 12:00:00,121.88,122.07,121.84,122.03
2007-01-29 13:00:00,122.02,122.03,121.94,121.99
2007-01-29 14:00:00,121.98,122.01,121.81,121.82
2007-01-29 15:00:00,121.81,121.88,121.81,121.86
2007-01-29 16:00:00,121.87,121.92,121.79,121.80
2007-01-29 17:00:00,121.79,121.87,121.74,121.83
2007-01-29 18:00:00,121.83,121.97,121.83,121.92
2007-01-29 19:00:00,121.93,121.95,121.89,121.90
2007-01-29 20:00:00,121.91,121.92,121.72,121.82
2007-01-29 21:00:00,121.81,121.81,121.71,121.73
2007-01-29 22:00:00,121.72,121.82,121.71,121.73
2007-01-29 23:00:00,121.73,121.79,121.65,121.74
2007-01-30 00:00:00,121.73,121.73,121.54,121.62
2007-01-30 01:00:00,121.62,121.67,121.58,121.59
2007-01-30 02:00:00,121.59,121.64,121.54,121.62
2007-01-30 03:00:00,121.62,121.75,121.61,121.72
2007-01-30 04:00:00,121.73,121.84,121.72,121.79
2007-01-30 05:00:00,121.79,121.83,121.70,121.82
2007-01-30 06:00:00,121.82,121.84,121.65,121.70
2007-01-30 07:00:00,121.71,121.97,121.70,121.90
2007-01-30 08:00:00,121.89,121.97,121.81,121.92
2007-01-30 09:00:00,121.92,121.94,121.73,121.78
2007-01-30 10:00:00,121.78,121.89,121.78,121.88
2007-01-30 11:00:00,121.88,121.88,121.78,121.86
2007-01-30 12:00:00,121.86,121.88,121.73,121.75
2007-01-30 13:00:00,121.74,121.90,121.73,121.90
2007-01-30 14:00:00,121.89,121.92,121.70,121.75
2007-01-30 15:00:00,121.74,121.75,121.51,121.52
2007-01-30 16:00:00,121.51,121.73,121.45,121.68
2007-01-30 17:00:00,121.67,121.70,121.59,121.62
2007-01-30 18:00:00,121.61,121.70,121.53,121.64
2007-01-30 19:00:00,121.64,121.64,121.56,121.62
2007-01-30 20:00:00,121.61,121.63,121.57,121.58
2007-01-30 21:00:00,121.58,121.62,121.57,121.60
2007-01-30 22:00:00,121.60,121.71,121.58,121.69
2007-01-30 23:00:00,121.69,121.72,121.61,121.66
2007-01-31 00:00:00,121.67,121.68,121.58,121.63
2007-01-31 01:00:00,121.63,121.64,121.47,121.61
2007-01-31 02:00:00,121.61,121.65,121.57,121.58
2007-01-31 03:00:00,121.58,121.58,121.50,121.52
2007-01-31 04:00:00,121.53,121.56,121.52,121.54
2007-01-31 05:00:00,121.54,121.54,121.41,121.44
2007-01-31 06:00:00,121.44,121.44,121.23,121.35
2007-01-31 07:00:00,121.35,121.42,121.15,121.32
2007-01-31 08:00:00,121.31,121.36,121.19,121.33
2007-01-31 09:00:00,121.33,121.48,121.27,121.46
2007-01-31 10:00:00,121.45,121.51,121.37,121.49
2007-01-31 11:00:00,121.48,121.51,121.45,121.48
2007-01-31 12:00:00,121.48,121.59,121.36,121.41
2007-01-31 13:00:00,121.42,121.69,121.35,121.62
2007-01-31 14:00:00,121.63,121.71,121.51,121.52
2007-01-31 15:00:00,121.52,121.53,120.93,121.00
2007-01-31 16:00:00,121.01,121.11,120.62,121.03
2007-01-31 17:00:00,121.02,121.02,120.88,120.88
2007-01-31 18:00:00,120.87,120.92,120.79,120.87
2007-01-31 19:00:00,120.86,120.89,120.68,120.74
2007-01-31 20:00:00,120.75,120.75,120.65,120.66
2007-01-31 21:00:00,120.66,120.67,120.62,120.64
2007-01-31 22:00:00,120.64,120.84,120.63,120.83
2007-01-31 23:00:00,120.84,120.89,120.69,120.73
2007-02-01 00:00:00,120.73,120.88,120.67,120.81
2007-02-01 01:00:00,120.81,120.81,120.62,120.70
2007-02-01 02:00:00,120.72,120.72,120.49,120.56
2007-02-01 03:00:00,120.56,120.75,120.47,120.73
2007-02-01 04:00:00,120.73,120.78,120.70,120.71
2007-02-01 05:00:00,120.70,120.76,120.63,120.64
2007-02-01 06:00:00,120.64,120.67,120.43,120.58
2007-02-01 07:00:00,120.57,120.79,120.51,120.64
2007-02-01 08:00:00,120.65,120.68,120.58,120.64
2007-02-01 09:00:00,120.64,120.65,120.45,120.53
2007-02-01 10:00:00,120.53,120.61,120.35,120.42
2007-02-01 11:00:00,120.42,120.47,120.34,120.46
2007-02-01 12:00:00,120.47,120.53,120.35,120.39
2007-02-01 13:00:00,120.39,120.52,120.28,120.29
2007-02-01 14:00:00,120.29,120.33,120.16,120.23
2007-02-01 15:00:00,120.22,120.51,120.09,120.47
2007-02-01 16:00:00,120.45,120.70,120.45,120.67
2007-02-01 17:00:00,120.66,120.69,120.57,120.67
2007-02-01 18:00:00,120.66,120.74,120.64,120.67
2007-02-01 19:00:00,120.67,120.72,120.61,120.62
2007-02-01 20:00:00,120.61,120.72,120.60,120.70
2007-02-01 21:00:00,120.69,120.79,120.69,120.77
2007-02-01 22:00:00,120.77,120.79,120.67,120.76
2007-02-01 23:00:00,120.75,120.81,120.75,120.80
2007-02-02 00:00:00,120.80,120.81,120.68,120.80
2007-02-02 01:00:00,120.81,120.81,120.70,120.73
2007-02-02 02:00:00,120.72,120.73,120.66,120.66
2007-02-02 03:00:00,120.66,120.74,120.66,120.72
2007-02-02 04:00:00,120.72,120.74,120.68,120.70
2007-02-02 05:00:00,120.70,120.74,120.66,120.70
2007-02-02 06:00:00,120.69,120.75,120.62,120.73
2007-02-02 07:00:00,120.73,120.80,120.63,120.76
2007-02-02 08:00:00,120.75,120.98,120.73,120.83
2007-02-02 09:00:00,120.83,120.94,120.79,120.92
2007-02-02 10:00:00,120.92,120.96,120.86,120.95
2007-02-02 11:00:00,120.96,121.01,120.92,120.95
2007-02-02 12:00:00,120.95,121.07,120.92,120.93
2007-02-02 13:00:00,120.94,121.09,120.64,120.90
2007-02-02 14:00:00,120.90,121.34,120.89,121.20
2007-02-02 15:00:00,121.21,121.32,121.02,121.11
2007-02-02 16:00:00,121.10,121.19,121.00,121.03
2007-02-02 17:00:00,121.03,121.13,120.92,121.12
2007-02-02 18:00:00,121.13,121.15,121.03,121.03
2007-02-02 19:00:00,121.03,121.10,121.03,121.06
2007-02-02 20:00:00,121.07,121.07,120.98,121.03
2007-02-02 21:00:00,121.02,121.02,121.00,121.01
2007-02-04 23:00:00,121.16,121.17,120.95,120.96
2007-02-05 00:00:00,120.96,121.05,120.96,121.00
2007-02-05 01:00:00,121.00,121.00,120.70,120.82
2007-02-05 02:00:00,120.81,120.89,120.76,120.78
2007-02-05 03:00:00,120.78,120.84,120.72,120.81
2007-02-05 04:00:00,120.81,120.82,120.75,120.80
2007-02-05 05:00:00,120.79,120.82,120.78,120.79
2007-02-05 06:00:00,120.78,120.88,120.73,120.86
2007-02-05 07:00:00,120.87,120.87,120.51,120.57
2007-02-05 08:00:00,120.58,120.71,120.55,120.69
2007-02-05 09:00:00,120.68,120.79,120.58,120.75
2007-02-05 10:00:00,120.75,120.84,120.73,120.78
2007-02-05 11:00:00,120.79,120.80,120.64,120.68
2007-02-05 12:00:00,120.68,120.73,120.58,120.59
